ID,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,ImageLink
39,Glute bridge,"The glute bridge activates the glutes and lower back.",Strength,Glutes,Body Only,Intermediate,8.8,Average,https://i.pinimg.com/originals/7a/3b/2c/7a3b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
40,Barbell Deadlift,"The deadlift develops overall strength in the posterior chain.",Strength,Hamstrings,Barbell,Intermediate,9.4,Average,https://i.pinimg.com/originals/1c/2a/3b/1c2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c.gif
41,Sumo deadlift,"The sumo deadlift targets the hamstrings, glutes, and adductors.",Powerlifting,Hamstrings,Barbell,Beginner,9.3,Average,https://i.pinimg.com/originals/9f/3a/2b/9f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
42,Good Morning,"The good morning targets the glutes, hamstrings, and lower back.",Powerlifting,Hamstrings,Barbell,Intermediate,8.5,Average,https://i.pinimg.com/originals/4b/2a/1c/4b2a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
43,Romanian Deadlift,"The Romanian deadlift builds the hamstrings and glutes.",Strength,Hamstrings,Barbell,Intermediate,8.1,Average,https://i.pinimg.com/originals/6e/1a/3b/6e1a3b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
44,Box jump,"The box jump develops lower-body power and explosiveness.",Plyometrics,Hamstrings,Other,Beginner,8.6,Average,https://i.pinimg.com/originals/8a/2b/3c/8a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d.gif
45,Lying Leg Curls,"The lying leg curl isolates the hamstrings.",Strength,Hamstrings,Machine,Beginner,8.9,Average,https://i.pinimg.com/originals/3c/2a/1b/3c2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
46,Glute Ham Raise,"The glute ham raise targets the glutes and hamstrings.",Powerlifting,Hamstrings,Machine,Intermediate,8.4,Average,https://i.pinimg.com/originals/5f/1a/2b/5f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
47,Seated Leg Curl,"The seated leg curl builds the hamstrings.",Strength,Hamstrings,Machine,Intermediate,7.9,Average,https://i.pinimg.com/originals/7b/3a/2c/7b3a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
48,Natural Glute Ham Raise,The natural glute ham raise targets the glutes and hamstrings.,Strength,Hamstrings,Body Only,Beginner,9.1,Average,https://i.pinimg.com/originals/1d/2a/3b/1d2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c.gif
49,Exercise ball leg curl,"The exercise ball leg curl targets the hamstrings.",Strength,Hamstrings,Exercise Ball,Intermediate,8.8,Average,https://i.pinimg.com/originals/9a/2b/1c/9a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
50,Band-assisted pull-up,"The band-assisted pull-up helps build upper back and biceps strength.",Strength,Lats,Bands,Intermediate,7.6,Average,https://i.pinimg.com/originals/4f/3a/2b/4f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
51,Weighted pull-up,"The weighted pull-up builds back and biceps strength.",Strength,Lats,Other,Intermediate,9.5,Average,https://i.pinimg.com/originals/2a/1b/3c/2a1b3c4d5e6f7a8b9c0d1e2f3a4b5c6d.gif
52,Close-grip pull-down,"The close-grip pull-down targets the lats.",Strength,Lats,Cable,Intermediate,8.9,Average,https://i.pinimg.com/originals/6b/2a/1c/6b2a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
53,Shotgun row,"The shotgun row builds the lats and rhomboids.",Strength,Lats,Cable,Intermediate,8.9,Average,https://i.pinimg.com/originals/8e/3a/2b/8e3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
54,Lat pull-down,"The lat pull-down builds back width and strength.",Strength,Lats,Cable,Intermediate,8.6,Average,https://i.pinimg.com/originals/1a/2b/3c/1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d.gif
55,Pullups,"The pull-up builds strength in the upper back, biceps, and core.",Strength,Lats,Body Only,Intermediate,9.2,Average,https://i.pinimg.com/originals/3a/1b/2c/3a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
56,Pull-up,"The pull-up is a classic bodyweight back exercise.",Strength,Lats,Body Only,Beginner,8.9,Average,https://i.pinimg.com/originals/5c/2a/1b/5c2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
57,Rope climb,"The rope climb builds upper-body and grip strength.",Strength,Lats,Body Only,Intermediate,8.7,Average,https://i.pinimg.com/originals/7f/3a/2b/7f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
58,Neutral-grip pull-up,"The neutral-grip pull-up is a shoulder-friendly back builder.",Strength,Lats,Body Only,Intermediate,8.2,Average,https://i.pinimg.com/originals/9d/1a/2b/9d1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
59,Chin-Up,"The chin-up builds the back and biceps.",Strength,Lats,Body Only,Intermediate,,https://i.pinimg.com/originals/2b/3a/1c/2b3a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
60,Medicine ball slam,"The medicine ball slam develops power in the shoulders and lats.",Plyometrics,Lats,Medicine Ball,Intermediate,7.9,Average,https://i.pinimg.com/originals/4a/2b/1c/4a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
61,Barbell deficit deadlift,"The deficit deadlift builds pulling strength off the floor.",Powerlifting,Lower Back,Barbell,Beginner,9.4,Average,https://i.pinimg.com/originals/6a/1b/2c/6a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
62,Rack pull,"The rack pull strengthens the deadlift lockout.",Powerlifting,Lower Back,Barbell,Intermediate,8.3,Average,https://i.pinimg.com/originals/8b/2a/1c/8b2a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
63,Atlas Stones,,Strongman,Lower Back,Other,Intermediate,9.5,Average,https://i.pinimg.com/originals/1f/3a/2b/1f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
64,Back extension,"The back extension builds lower back and glute strength.",Strength,Lower Back,Body Only,Intermediate,9.1,Average,https://i.pinimg.com/originals/5a/2b/1c/5a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
65,Superman,"The Superman targets the posterior chain.",Stretching,Lower Back,Body Only,Intermediate,8.3,Average,https://i.pinimg.com/originals/7c/2a/1b/7c2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
66,Reverse-grip bent-over row,"The reverse-grip row targets the lats and biceps.",Strength,Middle Back,Barbell,Intermediate,9.2,Average,https://i.pinimg.com/originals/9e/3a/2b/9e3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
67,Bent Over Barbell Row,"The barbell row builds thickness in the back.",Strength,Middle Back,Barbell,Intermediate,8.7,Average,https://i.pinimg.com/originals/2f/1a/3b/2f1a3b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
68,Pendlay Row,"The Pendlay row builds back strength and power.",Strength,Middle Back,Barbell,Intermediate,8.2,Average,https://i.pinimg.com/originals/4d/2a/3b/4d2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c.gif
69,One-Arm Dumbbell Row,"The one-arm dumbbell row builds the lats.",Strength,Middle Back,Dumbbell,Intermediate,9.0,Average,https://i.pinimg.com/originals/6b/1a/2c/6b1a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
70,T-Bar Row,,Strength,Middle Back,Other,Intermediate,9.5,Average,https://i.pinimg.com/originals/8a/2b/1c/8a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
71,Seated Cable Rows,"The seated cable row trains the upper back muscles.",Strength,Middle Back,Cable,Intermediate,8.8,Average,https://i.pinimg.com/originals/3b/1a/2c/3b1a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
72,Rower,"The rower is a cardio machine that targets the back and legs.",Cardio,Middle Back,Machine,Intermediate,8.9,Average,https://i.pinimg.com/originals/5f/2a/1b/5f2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
73,Barbell shrug,"The barbell shrug builds the trapezius muscles.",Strength,Traps,Barbell,Intermediate,8.4,Average,https://i.pinimg.com/originals/7e/1a/3b/7e1a3b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
74,Kettlebell sumo deadlift high pull,"The sumo deadlift high pull builds power in the traps and glutes.",Strength,Traps,Kettlebells,Intermediate,8.7,Average,https://i.pinimg.com/originals/1a/2b/3c/1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d.gif
75,Standing dumbbell shrug,"The dumbbell shrug builds the traps.",Strength,Traps,Dumbbell,Intermediate,8.7,Average,https://i.pinimg.com/originals/3f/2a/1b/3f2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
76,Standing dumbbell upright row,"The upright row builds the traps and shoulders.",Strength,Traps,Dumbbell,Intermediate,8.7,Average,https://i.pinimg.com/originals/5c/3a/2b/5c3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
77,Smith machine shrug,"The Smith machine shrug builds the traps.",Strength,Traps,Machine,Intermediate,9.2,Average,https://i.pinimg.com/originals/7a/2b/1c/7a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
78,Leverage Shrink,,Strength,Traps,Machine,Intermediate,9.1,Average,https://i.pinimg.com/originals/9c/1a/2b/9c1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
79,Barbell Full Squat,"The barbell back squat builds lower-body strength.",Strength,Quadriceps,Barbell,Intermediate,9.4,Average,https://i.pinimg.com/originals/2d/1a/3b/2d1a3b4c5d6e7f8a9b0c1d2e3f4a5b6c.gif
80,Push-press,"The push-press builds shoulder and leg power.",Olympic Weightlifting,Quadriceps,Barbell,Intermediate,9.3,Average,https://i.pinimg.com/originals/4f/2a/1b/4f2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
81,Barbell walking lunge,"The walking lunge builds the quads, glutes, and hamstrings.",Strength,Quadriceps,Barbell,Intermediate,9.2,Average,https://i.pinimg.com/originals/6b/3a/2c/6b3a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
82,Barbell front squat,"The front squat emphasizes the quads and core.",Strength,Quadriceps,Barbell,Intermediate,8.9,Average,https://i.pinimg.com/originals/8e/2a/1b/8e2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
83,Hack Squat,"The hack squat targets the quadriceps.",Strength,Quadriceps,Barbell,Intermediate,8.4,Average,https://i.pinimg.com/originals/1b/3a/2c/1b3a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
84,Barbell thruster,"The thruster is a full-body squat and press.",Strength,Quadriceps,Barbell,Intermediate,8.3,Average,https://i.pinimg.com/originals/3a/2b/1c/3a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
85,Zercher squat,"The Zercher squat builds quad and core strength.",Strength,Quadriceps,Barbell,Intermediate,8.1,Average,https://i.pinimg.com/originals/5d/1a/2b/5d1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
86,Goblet Squat,"The goblet squat improves squat technique and builds the quads.",Strength,Quadriceps,Kettlebells,Intermediate,8.7,Average,https://i.pinimg.com/originals/7f/3a/2b/7f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
87,Dumbbell Goblet Squat,"The dumbbell goblet squat builds the quads and glutes.",Strength,Quadriceps,Dumbbell,Intermediate,8.9,Average,https://i.pinimg.com/originals/9c/2a/1b/9c2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
88,Dumbbell squat,"The dumbbell squat builds lower-body strength.",Strength,Quadriceps,Dumbbell,Intermediate,8.9,Average,https://i.pinimg.com/originals/2a/3b/1c/2a3b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
89,Dumbbell Lunges,"The dumbbell lunge builds leg strength one leg at a time.",Strength,Quadriceps,Dumbbell,Intermediate,8.8,Average,https://i.pinimg.com/originals/4b/2a/1c/4b2a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
90,Tire flip,"The tire flip builds full-body power.",Strongman,Quadriceps,Other,Intermediate,9.4,Average,https://i.pinimg.com/originals/6a/3b/2c/6a3b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
91,Hex-bar deadlift,"The hex bar deadlift is a back-friendly deadlift variation.",Strength,Quadriceps,Other,Intermediate,8.8,Average,https://i.pinimg.com/originals/8f/1a/2b/8f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
92,Weighted sissy squat,"The sissy squat targets the quadriceps.",Strength,Quadriceps,Other,Intermediate,8.4,Average,https://i.pinimg.com/originals/1c/3a/2b/1c3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
93,Sled Push,"The sled push builds lower-body power and conditioning.",Strongman,Quadriceps,Other,Intermediate,6.8,Average,https://i.pinimg.com/originals/3d/2a/1b/3d2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
94,Single-Leg Press,"The single-leg press builds the quads one leg at a time.",Strength,Quadriceps,Machine,Intermediate,9.6,Average,https://i.pinimg.com/originals/5b/1a/2c/5b1a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
95,Leg Press,The leg press builds the quadriceps.,Strength,Quadriceps,Machine,Intermediate,8.8,Average,https://i.pinimg.com/originals/7d/2a/1b/7d2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
96,Leg Extensions,The leg extension isolates the quadriceps.,Strength,Quadriceps,Machine,Intermediate,8.5,Average,https://i.pinimg.com/originals/9f/3a/2b/9f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
97,Jumping rope,"Jumping rope builds conditioning and leg strength.",Cardio,Quadriceps,Body Only,Intermediate,9.2,Average,https://i.pinimg.com/originals/2c/1a/3b/2c1a3b4c5d6e7f8a9b0c1d2e3f4a5b6c.gif
98,Forward lunge,"The forward lunge builds the quads, glutes, and hamstrings.",Strength,Quadriceps,Body Only,Intermediate,9.0,Average,https://i.pinimg.com/originals/4a/2b/1c/4a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
99,Bodyweight squat,"The bodyweight squat builds leg strength.",Strength,Quadriceps,Body Only,Intermediate,8.8,Average,https://i.pinimg.com/originals/6c/3a/2b/6c3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
100,Burpee,"The burpee builds full-body strength and conditioning.",Cardio,Quadriceps,Body Only,Intermediate,8.8,Average,https://i.pinimg.com/originals/8a/1b/2c/8a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
101,Jump Squat,"The jump squat builds explosive leg power.",Plyometrics,Quadriceps,Body Only,Intermediate,7.6,Average,https://i.pinimg.com/originals/1d/3a/2b/1d3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
102,Wall sit,"The wall sit builds quad endurance.",Strength,Quadriceps,Body Only,Intermediate,,https://i.pinimg.com/originals/3c/2a/1b/3c2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
103,Clean and press,"The clean and press builds full-body power.",Strength,Shoulders,Barbell,Intermediate,9.4,Average,https://i.pinimg.com/originals/5a/3b/2c/5a3b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
104,Military press,"The military press builds shoulder strength.",Strength,Shoulders,Barbell,Intermediate,9.3,Average,https://i.pinimg.com/originals/7c/1a/2b/7c1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
105,Seated barbell shoulder press,"The seated shoulder press builds the shoulders.",Strength,Shoulders,Barbell,Intermediate,9.2,Average,https://i.pinimg.com/originals/9d/2a/1b/9d2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
106,Barbell upright row,"The upright row builds the traps and shoulders.",Strength,Shoulders,Barbell,Intermediate,8.3,Average,https://i.pinimg.com/originals/2b/1a/3c/2b1a3c4d5e6f7a8b9c0d1e2f3a4b5c6d.gif
107,Standing barbell shoulder press,"The standing press builds the shoulders and core.",Strength,Shoulders,Barbell,Intermediate,,https://i.pinimg.com/originals/4c/3a/2b/4c3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
108,Single-arm kettlebell snatch,"The kettlebell snatch builds full-body power.",Strength,Shoulders,Kettlebells,Intermediate,8.6,Average,https://i.pinimg.com/originals/6d/1a/2b/6d1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
109,Dumbbell front raise to lateral raise,"This combo builds the front and side delts.",Strength,Shoulders,Dumbbell,Intermediate,9.5,Average,https://i.pinimg.com/originals/8c/2a/1b/8c2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
110,Seated Dumbbell Press,"The seated dumbbell press builds shoulder strength.",Strength,Shoulders,Dumbbell,Intermediate,9.1,Average,https://i.pinimg.com/originals/1e/3a/2b/1e3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
111,Standing dumbbell shoulder press,"The standing dumbbell press builds the shoulders and core.",Strength,Shoulders,Dumbbell,Intermediate,9.1,Average,https://i.pinimg.com/originals/3a/2b/1c/3a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
112,Single-arm lateral raise,"The lateral raise builds the side delts.",Strength,Shoulders,Dumbbell,Intermediate,9.1,Average,https://i.pinimg.com/originals/5b/2a/1c/5b2a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
113,Arnold press,"The Arnold press hits all three heads of the deltoid.",Strength,Shoulders,Dumbbell,Intermediate,8.9,Average,https://i.pinimg.com/originals/7d/3a/2b/7d3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
114,Dumbbell front raise,"The front raise targets the anterior deltoid.",Strength,Shoulders,Dumbbell,Intermediate,8.8,Average,https://i.pinimg.com/originals/9b/1a/2c/9b1a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
115,Side Lateral Raise,"The lateral raise builds the side delts.",Strength,Shoulders,Dumbbell,Intermediate,8.6,Average,https://i.pinimg.com/originals/2c/3a/1b/2c3a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
116,Car driver,"The car driver targets the anterior deltoids.",Strength,Shoulders,Other,Intermediate,9.0,Average,https://i.pinimg.com/originals/4d/1a/2b/4d1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
117,Front Plate Raise,"The plate front raise builds the front delts.",Strength,Shoulders,Other,Intermediate,8.9,Average,https://i.pinimg.com/originals/6e/2a/1b/6e2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
